Rony MARTINEZ;Honduras;1. Forward
RUI PATRICIO;Portugal;1. Forward
Salvatore SIRIGU;Italy;1. Forward
Sami KHEDIRA;Germany;1. Forward
SAMMIR;Croatia;1. Forward
Samuel INKOOM;Ghana;1. Forward
Sergio AGUERO;Argentina;1. Forward
Sergio BUSQUETS;Spain;1. Forward
Sergio ROMERO;Argentina;1. Forward
Shinji KAGAWA;Japan;1. Forward
Shuichi GONDA;Japan;1. Forward
Simon MIGNOLET;Belgium;1. Forward
Sokratis PAPASTATHOPOULOS;Greece;1. Forward
Stephane RUFFIER;France;1. Forward
Steven BEITASHOUR;Iran;1. Forward
Steven DEFOUR;Belgium;1. Forward
Sylvain GBOHOUO;Ivory Coast;1. Forward
Tim KRUL;Netherlands;1. Forward
Uwa ECHIEJILE;Nigeria;1. Forward
Valentin STOCKER;Switzerland;1. Forward
Wilfried BONY;Ivory Coast;1. Forward
Yann SOMMER;Switzerland;1. Forward
Abel AGUILAR;Colombia;2. Midfielder
Agustin ORION;Argentina;2. Midfielder
Ahmad ALNAMEH;Iran;2. Midfielder
Alberto AQUILANI;Italy;2. Midfielder
Aldo RAMIREZ;Colombia;2. Midfielder
Aleksandr KERZHAKOV;Russia;2. Midfielder
Alex WILKINSON;Australia;2. Midfielder
Alexander SAMEDOV;Russia;2. Midfielder
Alexandros TZIOLIS;Greece;2. Midfielder
Alfredo TALAVERA;Mexico;2. Midfielder
Alvaro GONZALEZ;Uruguay;2. Midfielder
Amirhossein SADEGHI;Iran;2. Midfielder
Andranik TIMOTIAN;Iran;2. Midfielder
Andrea BARZAGLI;Italy;2. Midfielder
Andrea PIRLO;Italy;2. Midfielder
Andres INIESTA;Spain;2. Midfielder
Andrey ESHCHENKO;Russia;2. Midfielder
Antonio CASSANO;Italy;2. Midfielder
Arjen ROBBEN;Netherlands;2. Midfielder
Arthur BOKA;Ivory Coast;2. Midfielder
Asmir AVDUKIC;Bosnia & Herzegovina;2. Midfielder
Austine EJIDE;Nigeria;2. Midfielder
Bacary SAGNA;France;2. Midfielder
Bastian SCHWEINSTEIGER;Germany;2. Midfielder
Ben FOSTER;England;2. Midfielder
Benoit ASSOU EKOTTO;Cameroon;2. Midfielder
BETO;Portugal;2. Midfielder
Boniek GARCIA;Honduras;2. Midfielder
